customer_id,recency,frequency,monetary,recency_scaled,frequency_scaled,monetary_scaled
CUST00001,166,2,187000.0,-0.1788733507219187,-1.085639551522346,-0.07740175835654015
CUST00002,187,4,84300.0,0.023153321912819807,-0.03524456979856102,-0.8077265823114943
CUST00003,328,4,130150.0,1.3796181238889211,-0.03524456979856102,-0.4816760158233283
CUST00004,33,5,302000.0,-1.4583756107419292,0.48995292106333155,0.7403913746017825
CUST00005,270,1,8000.0,0.8216396947072625,-1.6108370423842386,-1.3503145479177554
CUST00006,193,5,176500.0,0.08087522837988795,0.48995292106333155,-0.1520698270179522
CUST00007,359,3,450.0,1.6778479739687733,-0.5604420606604535,-1.4040044449076279
CUST00008,45,4,363200.0,-1.3429317978077928,-0.03524456979856102,1.1755995462282984
CUST00009,143,4,234000.0,-0.4001406588456799,-0.03524456979856102,0.2568267394612091
CUST00010,258,4,205500.0,0.7061958817731262,-0.03524456979856102,0.054156267380233485
CUST00011,204,6,136550.0,0.18669872356951286,1.0151504119252241,-0.43616405016303905
CUST00012,250,4,219400.0,0.6292333398170353,-0.03524456979856102,0.15300256779867422
CUST00013,344,1,50.0,1.5335432078011029,-1.6108370423842386,-1.406848942761396
CUST00014,290,6,462000.0,1.0140460495974897,1.0151504119252241,1.8781905161090138
CUST00015,297,2,326000.0,1.081388273809069,-1.085639551522346,0.9110612458278672
CUST00016,64,2,45100.0,-1.160145760662077,-1.085639551522346,-1.086487371980766
CUST00017,202,5,150400.0,0.16745808808049018,0.48995292106333155,-0.33767331197631933
CUST00018,68,7,379150.0,-1.1216644896840318,1.5403479027871165,1.2890238981473006
CUST00019,311,5,398300.0,1.216072722232228,0.48995292106333155,1.4252042328964474
CUST00020,146,5,99500.0,-0.37127970561214585,0.48995292106333155,-0.6996356638683073
CUST00021,257,6,238700.0,0.6965755640286148,1.0151504119252241,0.290249589242984
CUST00022,156,8,254850.0,-0.27507652816703226,2.065545393649009,0.4050961900888702
CUST00023,98,7,418300.0,-0.833054957348691,1.5403479027871165,1.5674291255848514
CUST00025,284,3,386000.0,0.9563241431304215,-0.5604420606604535,1.337735923893079
CUST00026,310,5,336700.0,1.2064524044877167,0.48995292106333155,0.9871515634161633
CUST00027,346,5,189200.0,1.5527838432901255,0.48995292106333155,-0.06175702016081572
CUST00028,119,5,281000.0,-0.6310282847139524,0.48995292106333155,0.5910552372789584
CUST00029,313,5,312300.0,1.2353133577212507,0.48995292106333155,0.8136371943363104
CUST00030,41,5,357000.0,-1.3814130687858384,0.48995292106333155,1.1315098294948933
CUST00031,50,4,139150.0,-1.2948302090852362,-0.03524456979856102,-0.41767481411354657
CUST00032,130,1,400.0,-0.5252047895243276,-1.6108370423842386,-1.4043600071393487
CUST00033,43,2,60500.0,-1.3621724332968157,-1.085639551522346,-0.9769742046106951
CUST00034,223,6,412000.0,0.3694847607152287,1.0151504119252241,1.5226282843880041
CUST00035,292,6,410300.0,1.0332866850865123,1.0151504119252241,1.5105391685094898
CUST00036,207,2,100000.0,0.21555967680304694,-1.085639551522346,-0.6960800415510973
CUST00037,19,5,468050.0,-1.5930600591650883,0.48995292106333155,1.921213546147256
CUST00038,326,5,278000.0,1.3603774883998985,0.48995292106333155,0.5697215033756977
CUST00040,34,5,151400.0,-1.448755292997418,0.48995292106333155,-0.33056206734189914
CUST00041,101,2,32000.0,-0.804194004115157,-1.085639551522346,-1.1796446766916706
CUST00042,43,4,199100.0,-1.3621724332968157,-0.03524456979856102,0.00864430171994423
CUST00043,326,5,336000.0,1.3603774883998985,0.48995292106333155,0.9821736921720692
