customer_id,first_purchase,last_purchase,total_orders,total_quantity,total_revenue,age,gender,region,segment,churn,tenure_months,unique_products,unique_categories,sentiment_mean,sent_share_negative,sent_share_neutral,sent_share_positive,recency_days,aov,orders_per_month,rev_90d,rev_90d_share,level_1,0
CUST00001,2023-05-19,2023-07-18,2,7,249000,43,Female,South,Corporate,0,50,2,2,0.0,0.5,0.0,0.5,166,124500.0,0.04,0.0,0.0,ip_gap_mean,41.0
CUST00001,2023-05-19,2023-07-18,2,7,249000,43,Female,South,Corporate,0,50,2,2,0.0,0.5,0.0,0.5,166,124500.0,0.04,0.0,0.0,ip_gap_median,41.0
CUST00001,2023-05-19,2023-07-18,2,7,249000,43,Female,South,Corporate,0,50,2,2,0.0,0.5,0.0,0.5,166,124500.0,0.04,0.0,0.0,ip_gap_std,0.0
CUST00002,2022-01-19,2023-06-27,4,11,84300,22,Male,East,Corporate,1,37,4,3,0.75,0.0,0.25,0.75,187,21075.0,0.10810810810810811,0.0,0.0,ip_gap_mean,146.33333333333334
CUST00002,2022-01-19,2023-06-27,4,11,84300,22,Male,East,Corporate,1,37,4,3,0.75,0.0,0.25,0.75,187,21075.0,0.10810810810810811,0.0,0.0,ip_gap_median,138.0
CUST00002,2022-01-19,2023-06-27,4,11,84300,22,Male,East,Corporate,1,37,4,3,0.75,0.0,0.25,0.75,187,21075.0,0.10810810810810811,0.0,0.0,ip_gap_std,110.73542040979179
CUST00003,2020-07-18,2023-02-06,4,14,130150,59,Female,North,Corporate,0,18,3,3,0.25,0.25,0.25,0.5,328,32537.5,0.2222222222222222,0.0,0.0,ip_gap_mean,339.6666666666667
CUST00003,2020-07-18,2023-02-06,4,14,130150,59,Female,North,Corporate,0,18,3,3,0.25,0.25,0.25,0.5,328,32537.5,0.2222222222222222,0.0,0.0,ip_gap_median,321.0
CUST00003,2020-07-18,2023-02-06,4,14,130150,59,Female,North,Corporate,0,18,3,3,0.25,0.25,0.25,0.5,328,32537.5,0.2222222222222222,0.0,0.0,ip_gap_std,126.04099862081914
CUST00004,2020-03-26,2023-11-28,5,12,349000,29,Male,East,Consumer,0,3,4,2,0.6,0.0,0.4,0.6,33,69800.0,1.6666666666666667,0.0,0.0,ip_gap_mean,230.0
CUST00004,2020-03-26,2023-11-28,5,12,349000,29,Male,East,Consumer,0,3,4,2,0.6,0.0,0.4,0.6,33,69800.0,1.6666666666666667,0.0,0.0,ip_gap_median,182.5
CUST00004,2020-03-26,2023-11-28,5,12,349000,29,Male,East,Consumer,0,3,4,2,0.6,0.0,0.4,0.6,33,69800.0,1.6666666666666667,0.0,0.0,ip_gap_std,214.50563318166417
CUST00005,2021-10-11,2023-04-05,1,1,8000,53,Female,West,Corporate,0,45,1,1,-1.0,1.0,0.0,0.0,270,8000.0,0.022222222222222223,0.0,0.0,ip_gap_mean,0.0
CUST00005,2021-10-11,2023-04-05,1,1,8000,53,Female,West,Corporate,0,45,1,1,-1.0,1.0,0.0,0.0,270,8000.0,0.022222222222222223,0.0,0.0,ip_gap_median,0.0
CUST00005,2021-10-11,2023-04-05,1,1,8000,53,Female,West,Corporate,0,45,1,1,-1.0,1.0,0.0,0.0,270,8000.0,0.022222222222222223,0.0,0.0,ip_gap_std,0.0
CUST00006,2020-06-22,2023-06-21,5,16,176500,45,Female,North,Corporate,0,23,4,3,-0.2,0.4,0.4,0.2,193,35300.0,0.21739130434782608,0.0,0.0,ip_gap_mean,267.75
CUST00006,2020-06-22,2023-06-21,5,16,176500,45,Female,North,Corporate,0,23,4,3,-0.2,0.4,0.4,0.2,193,35300.0,0.21739130434782608,0.0,0.0,ip_gap_median,121.0
CUST00006,2020-06-22,2023-06-21,5,16,176500,45,Female,North,Corporate,0,23,4,3,-0.2,0.4,0.4,0.2,193,35300.0,0.21739130434782608,0.0,0.0,ip_gap_std,349.84794316007253
CUST00007,2020-01-11,2023-01-06,3,8,450,44,Male,East,Consumer,0,28,2,1,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,359,150.0,0.10714285714285714,0.0,0.0,ip_gap_mean,643.0
CUST00007,2020-01-11,2023-01-06,3,8,450,44,Male,East,Consumer,0,28,2,1,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,359,150.0,0.10714285714285714,0.0,0.0,ip_gap_median,643.0
