customer_id,recency,frequency,monetary,cluster,recency_scaled,frequency_scaled,monetary_scaled
CUST00001,166,2,249000,5,-0.1788733507219187,-1.085639551522346,0.07300945270457905
CUST00002,187,4,84300,1,0.023153321912819807,-0.03524456979856102,-0.7911871776316804
CUST00003,328,4,130150,0,1.3796181238889211,-0.03524456979856102,-0.5506078485429282
CUST00004,33,5,349000,2,-1.4583756107419292,0.48995292106333155,0.597719003606983
CUST00005,270,1,8000,0,0.8216396947072625,-1.6108370423842386,-1.1915405649702147
CUST00006,193,5,176500,1,0.08087522837988795,0.48995292106333155,-0.3074049716996639
CUST00007,359,3,450,0,1.6778479739687733,-0.5604420606604535,-1.2311561360633463
CUST00008,45,4,410200,2,-1.3429317978077928,-0.03524456979856102,0.9188412487592543
CUST00009,143,4,234000,2,-0.4001406588456799,-0.03524456979856102,-0.00569697993078156
CUST00010,258,4,205500,1,0.7061958817731262,-0.03524456979856102,-0.15523920193796673
CUST00011,204,6,136550,1,0.18669872356951286,1.0151504119252241,-0.5170264372851743
CUST00012,250,4,219400,1,0.6292333398170353,-0.03524456979856102,-0.08230457436253255
CUST00013,344,1,50,0,1.5335432078011029,-1.6108370423842386,-1.2332549742669559
CUST00014,290,6,766000,4,1.0140460495974897,1.0151504119252241,2.7857578308700077
CUST00015,297,2,490000,0,1.081388273809069,-1.085639551522346,1.3375594703793727
CUST00016,64,2,45100,5,-1.160145760662077,-1.085639551522346,-0.9968733215854229
CUST00017,202,5,150400,1,0.16745808808049018,0.48995292106333155,-0.4443541644851913
CUST00018,68,7,441150,3,-1.1216644896840318,1.5403479027871165,1.0812388547635485
CUST00019,311,5,647300,4,1.216072722232228,0.48995292106333155,2.1629275939488544
CUST00020,146,5,99500,2,-0.37127970561214585,0.48995292106333155,-0.711431325894515
CUST00021,257,6,255700,1,0.6965755640286148,1.0151504119252241,0.10816499261504012
CUST00022,156,8,301850,3,-0.27507652816703226,2.065545393649009,0.3503184503564996
CUST00023,98,7,605300,3,-0.833054957348691,1.5403479027871165,1.9425495825698444
CUST00025,284,3,550000,4,0.9563241431304215,-0.5604420606604535,1.652385200920815
CUST00026,310,5,523700,4,1.2064524044877167,0.48995292106333155,1.5143865890334829
CUST00027,346,5,236200,1,1.5527838432901255,0.48995292106333155,0.005846630189071329
CUST00028,119,5,468000,3,-0.6310282847139524,0.48995292106333155,1.222123369180844
CUST00029,313,5,499300,4,1.2353133577212507,0.48995292106333155,1.3863574586132963
CUST00030,41,5,357000,2,-1.3814130687858384,0.48995292106333155,0.6396957676791755
CUST00031,50,4,139150,2,-1.2948302090852362,-0.03524456979856102,-0.5033839889617118
CUST00032,130,1,400,5,-0.5252047895243276,-1.6108370423842386,-1.2314184908387975
CUST00033,43,2,60500,5,-1.3621724332968157,-1.085639551522346,-0.9160680507464526
